# Results for 1000 trials
# n   time (msec)
# ---------------
5  1
10  0
15  0
20  1
25  2
30  2
35  3
40  2
45  0
50  1
55  1
60  1
65  0
70  1
75  1
80  1
85  1
90  2
95  1
100  1
105  1
110  1
115  2
120  2
125  2
130  1
135  2
140  1
145  2
150  2
155  1
160  2
165  2
170  2
175  2
180  2
185  3
190  3
195  3
200  2
205  5
210  4
215  3
220  4
225  4
230  3
235  3
240  3
245  3
250  7
255  3
260  4
265  3
270  5
275  5
280  4
285  4
290  5
295  4
300  6
305  8
310  4
315  6
320  5
325  5
330  6
335  5
340  5
345  6
350  5
355  7
360  7
365  6
370  8
375  6
380  5
385  8
390  7
395  6
400  7
405  7
410  7
415  8
420  10
425  8
430  10
435  8
440  8
445  10
450  7
455  8
460  7
465  8
470  9
475  7
480  7
485  8
490  8
495  13
500  9
505  9
510  11
515  9
520  10
525  12
530  12
535  12
540  14
545  12
550  12
555  12
560  11
565  16
570  10
575  15
580  13
585  11
590  12
595  15
600  15
605  13
610  13
615  15
620  16
625  16
630  15
635  18
640  18
645  19
650  17
655  18
660  18
665  19
670  21
675  18
680  21
685  20
690  22
695  26
700  28
705  31
710  24
715  27
720  29
725  27
730  26
735  28
740  25
745  28
750  30
755  26
760  30
765  29
770  29
775  30
780  30
785  30
790  30
795  31
800  32
805  32
810  34
815  34
820  36
825  34
830  34
835  36
840  36
845  38
850  37
855  39
860  40
865  37
870  39
875  39
880  40
885  43
890  45
895  42
900  39
905  43
910  43
915  46
920  44
925  45
930  45
935  47
940  48
945  47
950  46
955  48
960  52
965  48
970  49
975  49
980  53
985  51
990  50
995  52
1000  51
